STATE,COUNTYNAME,shapefile_latitude,shapefile_longitude,nc_latitude,nc_longitude,population_projection_2020
KS,Rawlins,39.785214390133504,-101.07574721631445,39.81250000025,-101.06249999990001,1002.0
KS,Pratt,37.64783444756415,-98.73958439101833,37.68750000025,-98.68749999990001,72.0
KS,Pottawatomie,39.37901151150859,-96.3424729676608,39.43750000025,-96.31249999990001,507.0
KS,Phillips,39.784511770921654,-99.34690790880292,39.81250000025,-99.31249999990001,1647.0
KS,Pawnee,38.181385157434754,-99.23680115820615,38.18750000025,-99.18749999990001,426.0
KS,Ottawa,39.132596223051834,-97.6503338423359,39.18750000025,-97.68749999990001,635.0
KS,Osborne,39.350350923381804,-98.76792768316736,39.31250000025,-98.81249999990001,117.0
KS,Osage,38.6524258949679,-95.72694866230643,38.68750000025,-95.68749999990001,1348.0
KS,Norton,39.7843830145671,-99.90341525627666,39.81250000025,-99.93749999990001,984.0
KS,Ness,38.47946241491149,-99.9162153995355,38.43750000025,-99.93749999990001,740.0
KS,Neosho,37.55856290593837,-95.30682630227355,37.56250000025,-95.31249999990001,818.0
KS,Nemaha,39.78346364917595,-96.01412280662,39.81250000025,-96.06249999990001,938.0
KS,Morton,37.19141122082427,-101.79928050213418,37.18750000025,-101.81249999990001,315.0
KS,Morris,38.687474706064194,-96.64987213125215,38.68750000025,-96.68749999990001,333.0
KS,Montgomery,37.19254969264592,-95.7428928895865,37.18750000025,-95.68749999990001,505.0
KS,Mitchell,39.39325423472957,-98.20950508104026,39.43750000025,-98.18749999990001,393.0
KS,Miami,38.56357152470621,-94.83808869968951,38.56250000025,-94.81249999990001,753.0
KS,Meade,37.238252100394504,-100.36619954678497,37.18750000025,-100.31249999990001,198.0
KS,Marshall,39.78358994626857,-96.52288776541805,39.81250000025,-96.56249999990001,2064.0
KS,Marion,38.35881864033589,-97.09691262885892,38.31250000025,-97.06249999990001,1370.0
KS,McPherson,38.39160446896946,-97.64801564633937,38.43750000025,-97.68749999990001,630.0
KS,Lyon,38.45626695521296,-96.15266810860324,38.43750000025,-96.18749999990001,166.0
KS,Logan,38.9172795246768,-101.1484712232448,38.93750000025,-101.18749999990001,45.0
KS,Linn,38.212245663236814,-94.84291018556166,38.18750000025,-94.81249999990001,1082.0
KS,Lincoln,39.045349301173594,-98.2078404740197,39.06250000025,-98.18749999990001,333.0
KS,Leavenworth,39.199341596053806,-95.03787512766262,39.18750000025,-95.06249999990001,4592.0
KS,Lane,38.48137395238449,-100.46638681208086,38.43750000025,-100.43749999990001,198.0
KS,Labette,37.191335502861314,-95.29758267083983,37.18750000025,-95.31249999990001,817.0
KS,Kiowa,37.55821165557033,-99.28603503025634,37.56250000025,-99.31249999990001,303.0
KS,Kingman,37.5589449713436,-98.13639559727584,37.56250000025,-98.18749999990001,580.0
KS,Kearny,38.00017533896569,-101.31991326463205,38.06250000025,-101.31249999990001,351.0
KS,Johnson,38.88383761607058,-94.82232126383984,38.93750000025,-94.81249999990001,0.0
KS,Jewell,39.78474070083369,-98.2184115142074,39.81250000025,-98.18749999990001,281.0
KS,Jefferson,39.23576972216064,-95.38336068897422,39.18750000025,-95.43749999990001,2622.0
KS,Jackson,39.416968761989956,-95.79367843908497,39.43750000025,-95.81249999990001,1651.0
KS,Hodgeman,38.08749751106282,-99.89790010303467,38.06250000025,-99.93749999990001,153.0
KS,Haskell,37.56234215747009,-100.87122078922775,37.56250000025,-100.81249999990001,504.0
KS,Harvey,38.04315719148811,-97.42734298405227,38.06250000025,-97.43749999990001,1953.0
KS,Harper,37.19163905973213,-98.07552166709432,37.18750000025,-98.06249999990001,2262.0
KS,Hamilton,37.999142974496145,-101.79132479612977,37.93750000025,-101.81249999990001,171.0
KS,Greenwood,37.87776406493561,-96.2326873208596,37.93750000025,-96.18749999990001,243.0
KS,Greeley,38.48045965138056,-101.80604628237266,38.43750000025,-101.81249999990001,126.0
KS,Gray,37.73824183384011,-100.43784269621027,37.68750000025,-100.43749999990001,360.0
KS,Wyandotte,39.1145424550451,-94.76458724198797,39.06250000025,-94.81249999990001,0.0
KS,Allen,37.88581037154529,-95.30136621831737,37.93750000025,-95.31249999990001,637.0
KS,Anderson,38.2142873899792,-95.2933420999,38.18750000025,-95.31249999990001,564.0
KS,Atchison,39.5319426746253,-95.3128863921777,39.56250000025,-95.31249999990001,792.0
KS,Barber,37.22886990225475,-98.68481881376367,37.18750000025,-98.68749999990001,189.0
KS,Barton,38.47903685688639,-98.75650156922661,38.43750000025,-98.81249999990001,1333.0
KS,Bourbon,37.8552142617053,-94.84929268572668,37.81250000025,-94.81249999990001,2157.0
KS,Brown,39.82656786357578,-95.56416821371447,39.81250000025,-95.56249999990001,4131.0
KS,Butler,37.781255103054605,-96.83910382546999,37.81250000025,-96.81249999990001,56.0
KS,Chase,38.302054957321026,-96.59395518095485,38.31250000025,-96.56249999990001,259.0
KS,Chautauqua,37.15009005645235,-96.24534624315405,37.18750000025,-96.18749999990001,449.0
KS,Cherokee,37.16932287487946,-94.84624326926422,37.18750000025,-94.81249999990001,4469.0
KS,Cheyenne,39.78583361419304,-101.73114312089818,39.81250000025,-101.68749999990001,193.0
KS,Clark,37.23549004636274,-99.8202794253952,37.18750000025,-99.81249999990001,162.0
KS,Clay,39.34970508772568,-97.16511345610783,39.31250000025,-97.18749999990001,460.0
